Cell#,ROI Name,ROI#,RMS,Reflectance,RMS_t^2,Diffusion
9,nuc,15,None,None,0.011282085,0.003871196
9,nuc,16,None,None,0.005330056,0.005210378
9,nuc,17,None,None,0.007592936,0.004628287
9,nuc,18,None,None,0.006119633,0.004823185
9,nuc,19,None,None,0.00893048,0.003157451
9,nuc,2,None,None,0.009057133,0.004247477
9,nuc,20,None,None,0.007196776,0.003473867
9,nuc,21,None,None,0.004253277,0.004688925
9,nuc,3,None,None,0.009266804,0.003900673
9,nuc,4,None,None,0.007378454,0.00434618
9,nuc,5,None,None,0.00976433,0.003638656
9,nuc,6,None,None,0.010125109,0.002929085
9,nuc,7,None,None,0.00631453,0.004704979
9,nuc,8,None,None,0.009291504,0.003807206
9,nuc,9,None,None,0.006566351,0.004562042
10,nuc,0,None,None,0.008001863,0.0036681
10,nuc,1,None,None,0.008625972,0.00361278
10,nuc,10,None,None,0.007208906,0.004157537
10,nuc,11,None,None,0.006696556,0.004835193
10,nuc,12,None,None,0.008564929,0.004076763
10,nuc,13,None,None,0.007470089,0.004751525
10,nuc,14,None,None,0.007264364,0.004763003
10,nuc,15,None,None,0.008728308,0.004299488
10,nuc,16,None,None,0.006218786,0.004428267
10,nuc,17,None,None,0.007714489,0.004568166
10,nuc,18,None,None,0.005651055,0.004870893
10,nuc,19,None,None,0.007799008,0.003398824
10,nuc,2,None,None,0.011661185,0.003776871
10,nuc,20,None,None,0.006604406,0.003917107
10,nuc,21,None,None,0.004367772,0.004845326
10,nuc,3,None,None,0.008739724,0.00401052
10,nuc,4,None,None,0.007385018,0.004170351
10,nuc,5,None,None,0.009200056,0.003759195
10,nuc,6,None,None,0.010429276,0.002889105
10,nuc,7,None,None,0.006799449,0.004320535
10,nuc,8,None,None,0.008390328,0.004130865
10,nuc,9,None,None,0.007493017,0.004368196
11,nuc,0,None,None,0.008862959,0.003632985
11,nuc,1,None,None,0.0086621,0.003869975
11,nuc,10,None,None,0.007896707,0.004002523
11,nuc,11,None,None,0.006185175,0.005066045
11,nuc,12,None,None,0.008025741,0.004231062
11,nuc,13,None,None,0.009249431,0.004474246
11,nuc,14,None,None,0.007209347,0.004836632
11,nuc,15,None,None,0.009273395,0.004103979
11,nuc,16,None,None,0.005886122,0.005210336
11,nuc,17,None,None,0.006378497,0.004883972
11,nuc,18,None,None,0.006143702,0.004365163
11,nuc,19,None,None,0.006587743,0.003769927
11,nuc,2,None,None,0.011271318,0.003638018
11,nuc,20,None,None,0.006333873,0.003882241
11,nuc,21,None,None,0.004620559,0.004477378
11,nuc,3,None,None,0.008612002,0.00404107
11,nuc,4,None,None,0.007775193,0.004078006
11,nuc,5,None,None,0.010254313,0.003549684
11,nuc,6,None,None,0.00900216,0.003051274
11,nuc,7,None,None,0.008193199,0.004041906
