Cell#,ROI Name,ROI#,RMS,Reflectance,D
10,nuc,11,0.115149535,0.9707544,2.263211325
10,nuc,12,0.1415522,1.1335981,2.43229097
10,nuc,13,0.17266057,1.0891062,2.584455416
10,nuc,14,0.17882095,1.3007239,2.609940049
10,nuc,15,0.15949282,1.1707482,2.525289528
10,nuc,16,0.11952779,1.1094358,2.29417815
10,nuc,17,0.14501594,1.0978475,2.451481569
10,nuc,18,0.14683054,1.0839494,2.461286501
10,nuc,19,0.13112861,1.1276757,2.370505859
10,nuc,2,0.15675585,1.2391295,2.512083098
10,nuc,20,0.11493503,0.98901683,2.26166361
10,nuc,21,0.10699442,0.88791114,2.20238303
10,nuc,3,0.16287361,1.1970433,2.541143218
10,nuc,4,0.14684518,1.2235963,2.461364928
10,nuc,5,0.17062318,1.1683718,2.575735539
10,nuc,6,0.1355315,1.1373527,2.397359742
10,nuc,7,0.14370775,1.0806301,2.444308029
10,nuc,8,0.14174502,1.2061652,2.433376093
10,nuc,9,0.13577445,1.17772,2.398809107
11,nuc,0,0.16321842,1.1468827,2.542732869
11,nuc,1,0.16256195,1.2113428,2.539702145
11,nuc,10,0.13671616,1.0986792,2.404395402
11,nuc,11,0.116865836,0.97598493,2.275491856
11,nuc,12,0.14358783,1.1359366,2.443645971
11,nuc,13,0.16540174,1.088282,2.552685896
11,nuc,14,0.18075418,1.3007162,2.617674937
11,nuc,15,0.15676232,1.1768581,2.512114715
11,nuc,16,0.117569074,1.1085278,2.280470946
11,nuc,17,0.14350827,1.0865562,2.443206316
11,nuc,18,0.14305368,1.0792991,2.440687809
11,nuc,19,0.13064347,1.1174513,2.367477966
11,nuc,2,0.15336637,1.2282292,2.495257787
11,nuc,20,0.11557935,0.98737925,2.266303933
11,nuc,21,0.10969002,0.8915825,2.222931246
11,nuc,3,0.16036832,1.208661,2.529442608
11,nuc,4,0.1446893,1.2237673,2.449698739
11,nuc,5,0.17604439,1.2016673,2.598614235
11,nuc,6,0.13355969,1.1335276,2.38547177
11,nuc,7,0.1405586,1.0725855,2.426667097
11,nuc,8,0.14021754,1.2125679,2.424724097
11,nuc,9,0.13369057,1.1937929,2.386267755
12,nuc,0,0.16724053,1.1494076,2.560921518
12,nuc,1,0.16027163,1.2077345,2.528985608
12,nuc,10,0.13874708,1.1087137,2.416272076
12,nuc,11,0.11446446,0.9610323,2.258258248
12,nuc,12,0.13575596,1.1267496,2.398698919
12,nuc,13,0.16676076,1.0867821,2.558785385
12,nuc,14,0.17361446,1.2873025,2.588487135
12,nuc,15,0.15205775,1.1741912,2.488619772
12,nuc,16,0.115010835,1.1072656,2.262210893
12,nuc,17,0.14270282,1.0810771,2.438736491
